teams_ids,team,country,tm_data,city
12396,Nafta,Slovenia,"Nogometni klub Nafta Lendava, commonly referred to as NK Nafta Lendava or simply Nafta, was a Slovenian football club which played in the town of Lendava. The club was founded under the Hungarian name Lendvai Football Egyesület in 1903.",Lendava
20568,Friesdorf,Germany,,Bonn
18636,Yantra,Bulgaria,"FC Yantra is a Bulgarian football club based in Gabrovo, which plays in Second League, the second tier of Bulgarian football. The club was originally founded in 1919 and home matches are played at Stadion Hristo Botev. Its home stadium has a capacity of 14 000 seats.",Gabrovo
,Bad Schallerbach,Austria,,Bad Schallerbach
18569,Ried II,Austria,,"    Ried im Innkreis"
21673,FC Rohoznik,Slovakia,"FC Rohožník is a Slovak football team, based in the town of Rohožník.  It currently plays in Slovak 2. liga, the second tier of Slovak football.",Rohožník
10562,Slavoj Trebisov,Slovakia,,Trebišov
,Lansing City,USA,,Lansing
,Al-Qasim,Iraq,,Al-Qasim City
16644,Nomme United,Estonia,"Jalgpalliklubi FC Nõmme United is an Estonian football club based in Nõmme, a district in Tallinn. The club was founded in 2000. They currently play in the Esiliiga, the second-highest division in the Estonian football. Their home ground is Männiku staadion.",Nõmme
21104,Viimsi,Estonia,"Viimsi JK, or simply as Viimsi, is a football club based in Haabneeme, Viimsi Parish, Estonia.",Haabneeme
15356,Atyra,Paraguay,,Atyrá
,Cynthialbalonga,Italy,,Latium
,Defence Force Addis Ababa,Ethiopia,,Addis Ababa
18089,Asarums,Sweden,"Asarums IF FK is a Swedish football club located in Asarum, Karlshamn Municipality.",Asarum
22746,Real Tamale,Ghana,"Real Tamale United, often abbreviated as RTU, is a football club based in Tamale, Northern Region of Ghana. The team previously competed in the Ghana Division One  League, after being relegated to the second tier in the 2013–14 Ghana Football Leagues Division One League.",Tamale
13661,Colombe,Cameroon,,Yaoundé
,Panthere du Nde,Cameroon,,Bangangté
13650,Young Sports Academy,Cameroon,"Yong Sports Academy is a football club in Bamenda, Cameroon. It plays in the country's top division Elite One.",Bamenda
12889,Esbjerg U19,Denmark,,Esbjerg
,Septemvri Sofia II,Bulgaria,,Sofia
,Pirin Razlog,Bulgaria,,Razlog
,Blue Eagles,Malawi,,Lilongwe
,Al-Sahel Khobar,Saudi Arabia,,Khobar
18407,Heiligenkreuz,Austria,,"    Heiligenkreuz am Waasen"
,Bruck,Austria,,"    Bruck an der Leitha"
10883,Kobenhavn U19,Denmark,,Frederiksberg
21702,Alleroed FC,Denmark,"Allerød Fodbold Klub is an association football club based in Lillerød, Denmark, that competes in the Denmark Series, the fourth tier of the Danish football league system. Founded in 1922, it is affiliated to the regional DBU Zealand football association.",Lillerød
10851,Skovshoved,Denmark,,Copenhagen
,Vuteks-Sloga,Croatia,,Vukovar
15377,Extremenya,Andorra,UE Extremenya is an Andorran football club based in the parish of La Massana. The club currently plays in Segona Divisió.,La Massana
,Stepojevac Vaga,Serbia,,Stepojevac
7930,Tenerife,Spain,"Club Deportivo Tenerife, S.A.D. is a Spanish football club based in Santa Cruz de Tenerife, Tenerife, in the Canary Islands. Founded in 1912, the club plays in the Segunda División, holding home matches at the Estadio Heliodoro Rodríguez López, with a 22,824-seat capacity.",Santa Cruz de Tenerife
,Spartak Tuymazy,Russia,,Tuymazy
,Torpedo Miass,Russia,,Miass
,Gladiator,Italy,,Santa Maria Capua Vetere
,Breno,Italy,,Breno
,PDHAE,Italy,,Donnas
,Citta di Fasano,Italy,,Fasano
,Cittanova Calcio,Italy,,Cittanova
,Lech Poznan ll,Poland,,Poznań
12398,Fuzinar,Slovenia,,Ravne na Koroškem
18798,Dodoma Jiji,Tanzania,Dodoma Jiji Football Club is a Tanzanian football club based in Dodoma City. The club won promotion to the Tanzanian Premier League for the 2020–21 season.,Dodoma City
7320,Lugo,Spain,"Club Deportivo Lugo is a Spanish football team based in Lugo, in the autonomous community of Galicia. Founded on 8 July 1953, it plays in Segunda División, holding home games at Estadio Anxo Carro.",Lugo
,Slask ll,Poland,,Śląsk Wrocław
